id,title,author,musictype,inq,href
1,清晨,班得瑞,班得瑞轻音乐精选,331287,http://f1.htqyy.com/play/33/mp3/18
2,月光下的凤尾竹,施光南,中国轻音乐精选集,240402,http://f1.htqyy.com/play/62/mp3/18
3,故乡的原风景,宗次郎,史上最优美的轻音乐,184984,http://f1.htqyy.com/play/55/mp3/18
4,心灵雨伞,轻音乐,史上最优美的轻音乐,146588,http://f1.htqyy.com/play/58/mp3/18
5,荡涤心灵的天籁之音,古筝,最经典的纯音乐,131186,http://f1.htqyy.com/play/261/mp3/18
6,夜的钢琴曲五,石进,史上最优美的轻音乐,128789,http://f1.htqyy.com/play/56/mp3/18
7,极度放松睡眠轻音乐,班得瑞,睡眠轻音乐,120132,http://f1.htqyy.com/play/231/mp3/18
8,时间都去哪了,赵海洋,唯美动听的钢琴曲,100487,http://f1.htqyy.com/play/329/mp3/18
9,The Beginning,Ryran&#183;Tomson,触动心灵之弦的乐曲,99821,http://f1.htqyy.com/play/591/mp3/18
10,亡灵序曲,Dreamtale,好听的电子音乐,88451,http://f1.htqyy.com/play/163/mp3/18
11,秋日私语,理查德,理查德经典钢琴曲,85177,http://f1.htqyy.com/play/3/mp3/18
12,唯美治愈系钢琴,Steven Barnes,放松心情缓解压力的轻音乐,81953,http://f1.htqyy.com/play/176/mp3/18
13,斯卡布罗市集(口哨曲),轻音乐,史上最优美的轻音乐,78305,http://f1.htqyy.com/play/57/mp3/18
14,你的微笑,班得瑞,班得瑞轻音乐精选,69841,http://f1.htqyy.com/play/26/mp3/18
15,月光,班得瑞,班得瑞经典收藏,69752,http://f1.htqyy.com/play/34/mp3/18
16,夜曲(很伤感的纯音乐),神秘园,神秘园精选集,65639,http://f1.htqyy.com/play/31/mp3/18
17,牧羊曲,古筝,古筝名曲精选集,62642,http://f1.htqyy.com/play/108/mp3/18
18,雨的印记,李闰珉,减压舒缓精选,62416,http://f1.htqyy.com/play/61/mp3/18
19,寂静之声,班得瑞,班得瑞轻音乐精选,61790,http://f1.htqyy.com/play/23/mp3/18
20,聆听心灵深处的呼唤,Karunesh,史上最优美的轻音乐,55224,http://f1.htqyy.com/play/327/mp3/18
21,水边的阿狄丽娜,理查德,理查德经典钢琴曲,49989,http://f1.htqyy.com/play/4/mp3/18
22,岁月如歌,哼唱歌手,"心中的天籁,空灵人声",49421,http://f1.htqyy.com/play/93/mp3/18
23,雪之梦,班得瑞,班得瑞轻音乐精选,48568,http://f1.htqyy.com/play/20/mp3/18
24,好一朵美丽的茉莉花,钢琴曲,中国风纯音乐精选集,44574,http://f1.htqyy.com/play/584/mp3/18
25,时间之河,班得瑞,史上最优美的轻音乐,42513,http://f1.htqyy.com/play/462/mp3/18
26,日晷之梦(电台背景音乐),Kevin Kern,优美的背景纯音乐精选,38852,http://f1.htqyy.com/play/187/mp3/18
27,青花瓷,钢琴曲,流行音乐钢琴曲,38789,http://f1.htqyy.com/play/900/mp3/18
28,童年(空灵悠远),班得瑞,班得瑞轻音乐精选,38096,http://f1.htqyy.com/play/21/mp3/18
29,天空之城钢琴曲,李家祥,史上最优美的轻音乐,37246,http://f1.htqyy.com/play/531/mp3/18
30,梦里水乡,中国民乐,中国轻音乐精选集,37092,http://f1.htqyy.com/play/87/mp3/18
31,梦中的婚礼,理查德,轻松欢快的纯音乐,36946,http://f1.htqyy.com/play/2/mp3/18
32,雨中漫步,白日梦,白日梦精选集,36761,http://f1.htqyy.com/play/64/mp3/18
33,走过绿意,Kevin Kern,史上最优美的轻音乐,35975,http://f1.htqyy.com/play/149/mp3/18
34,阿兰胡埃斯之爱,轻音乐,史上最优美的轻音乐,35652,http://f1.htqyy.com/play/59/mp3/18
35,星空,理查德,理查德经典钢琴曲,35319,http://f1.htqyy.com/play/11/mp3/18
36,风之彩 绝对经典,陶笛排萧乐,史上最优美的轻音乐,35085,http://f1.htqyy.com/play/184/mp3/18
37,琵琶语,林海,林海精选集,33884,http://f1.htqyy.com/play/46/mp3/18
38,越听越喜欢的曲子,Bernward Koch,唯美动听的钢琴曲,33114,http://f1.htqyy.com/play/498/mp3/18
39,西风（排箫）芈月传,王备,触动心灵之弦的乐曲,32944,http://f1.htqyy.com/play/1366/mp3/18
40,罗密欧与朱丽叶,理查德,理查德经典钢琴曲,32518,http://f1.htqyy.com/play/7/mp3/18
41,惟有时光,恩雅,"心中的天籁,空灵人声",32169,http://f1.htqyy.com/play/90/mp3/18
42,人生最美初见时,盛唐真情,唯美动听的钢琴曲,32005,http://f1.htqyy.com/play/548/mp3/18
43,初雪,班得瑞,班得瑞轻音乐精选,31767,http://f1.htqyy.com/play/22/mp3/18
44,追梦人,班得瑞,班得瑞轻音乐精选,31615,http://f1.htqyy.com/play/29/mp3/18
45,净化心灵的声音,Karunesh,减压舒缓精选,31263,http://f1.htqyy.com/play/448/mp3/18
46,梁祝化蝶,理查德,中国轻音乐精选集,30837,http://f1.htqyy.com/play/544/mp3/18
47,安妮的仙境,班得瑞,班得瑞轻音乐精选,30312,http://f1.htqyy.com/play/24/mp3/18
48,茉莉花,女子十二乐坊,中国轻音乐精选集,29274,http://f1.htqyy.com/play/79/mp3/18
49,Hero&#39;s Theme,Steven Burke,气势背景音乐精选,27932,http://f1.htqyy.com/play/507/mp3/18
50,传奇,段银莹,中国风纯音乐精选集,27529,http://f1.htqyy.com/play/861/mp3/18
51,电台情歌,莫文蔚,好听的流行轻音乐,27466,http://f1.htqyy.com/play/648/mp3/18
52,春野,班得瑞,班得瑞轻音乐精选,27414,http://f1.htqyy.com/play/28/mp3/18
53,一剪梅,中国民乐,中国轻音乐精选集,26892,http://f1.htqyy.com/play/85/mp3/18
54,明天你好,纯音乐,好听的纯音乐精选集,26887,http://f1.htqyy.com/play/485/mp3/18
55,蝴蝶华尔兹(助眠),Brian Crain,睡眠轻音乐,26852,http://f1.htqyy.com/play/326/mp3/18
56,安静,甘仕良,流行音乐钢琴曲,26500,http://f1.htqyy.com/play/497/mp3/18
57,天空之城钢琴曲,理查德,电台背景音乐精选,26466,http://f1.htqyy.com/play/658/mp3/18
58,大提琴 雁南飞,轻音乐,"心中的天籁,空灵人声",26278,http://f1.htqyy.com/play/598/mp3/18
59,你离开的真相,Pianoboy,减压舒缓精选,26246,http://f1.htqyy.com/play/154/mp3/18
60,笑傲江湖,女子十二乐坊,中国轻音乐精选集,26156,http://f1.htqyy.com/play/81/mp3/18
61,清心普善咒,佛教音乐,佛教音乐精选,26062,http://f1.htqyy.com/play/403/mp3/18
62,夏日香气,电视剧原声,世界上最美的背景音乐,25818,http://f1.htqyy.com/play/541/mp3/18
63,舒伯特小夜曲,静夜小夜曲,减压舒缓精选,25228,http://f1.htqyy.com/play/914/mp3/18
64,A Simple Life,Brian Crain,减压舒缓精选,24629,http://f1.htqyy.com/play/325/mp3/18
65,康妮的蝴蝶,Shardad Rohani,史上最优美的轻音乐,24117,http://f1.htqyy.com/play/430/mp3/18
66,月光,班得瑞,班得瑞轻音乐精选,23569,http://f1.htqyy.com/play/494/mp3/18
67,云水禅心,古筝佛赞,佛教音乐精选,23244,http://f1.htqyy.com/play/1231/mp3/18
68,古诗,班得瑞,史上最优美的轻音乐,23201,http://f1.htqyy.com/play/527/mp3/18
69,醉清风,弦子,"心中的天籁,空灵人声",22345,http://f1.htqyy.com/play/94/mp3/18
70,太阳的后裔OST《Always》,姜创钢琴版,你不能错过的纯音乐,21928,http://f1.htqyy.com/play/1621/mp3/18
71,花之舞,DJ OKAWARI,动感节奏纯音乐,21651,http://f1.htqyy.com/play/245/mp3/18
72,征服天堂,Vangelis,背景音乐珍藏，总有一天你会用上的,21430,http://f1.htqyy.com/play/129/mp3/18
73,永浴爱河,Kenny G,史上最优美的轻音乐,20378,http://f1.htqyy.com/play/521/mp3/18
